worker,firm,parameter,derivative
0,1,gamma,-4.357874371111393
0,1,V_1,0.1629151850938797
0,1,V_2,-0.00046403706073760986
0,1,V_3,0.21667391806840897
0,1,V_4,-0.0037637650966644287
0,1,V_5,-0.0005922392010688782
0,1,V_6,-0.011586442589759827
0,1,V_7,-0.0005565434694290161
0,1,V_8,-6.705522537231445e-07
0,1,V_9,-4.361569881439209e-05
0,1,V_10,-7.538497447967529e-05
0,2,gamma,-2.778409004211426
0,2,V_1,0.0020792484283447266
0,2,V_2,0.8714902400970459
0,2,V_3,0.26792681217193604
0,2,V_4,-0.0670127272605896
0,2,V_5,-0.14241743087768555
0,2,V_6,-0.5256235599517822
0,2,V_7,-0.06927502155303955
0,2,V_8,-0.00018322467803955078
0,2,V_9,-0.01207798719406128
0,2,V_10,-0.020881175994873047
0,3,gamma,-12.196666829288006
0,3,V_1,-0.020222067832946777
0,3,V_2,-1.1220574378967285e-05
0,3,V_3,0.8273591175675392
0,3,V_4,-9.09268856048584e-05
0,3,V_5,-1.4312565326690674e-05
0,3,V_6,-0.0002799034118652344
0,3,V_7,-1.3455748558044434e-05
0,3,V_8,-1.4901161193847656e-08
0,3,V_9,-1.0579824447631836e-06
0,3,V_10,-1.817941665649414e-06
0,4,gamma,-7.292353451251984
0,4,V_1,-0.05568420886993408
0,4,V_2,-0.024465590715408325
0,4,V_3,0.26439881324768066
0,4,V_4,0.8015603423118591
0,4,V_5,-0.031224697828292847
0,4,V_6,-0.6108812987804413
0,4,V_7,-0.029343008995056152
0,4,V_8,-3.4928321838378906e-05
0,4,V_9,-0.0022994279861450195
0,4,V_10,-0.003975361585617065
0,5,gamma,-7.386075794696808
0,5,V_1,0.001437366008758545
0,5,V_2,-0.11401617527008057
0,5,V_3,0.26788759231567383
0,5,V_4,-0.06847316026687622
0,5,V_5,0.8544848561286926
0,5,V_6,-0.5370640754699707
0,5,V_7,-0.07078206539154053
0,5,V_8,-0.00016254186630249023
0,5,V_9,-0.010715782642364502
0,5,V_10,-0.018526077270507812
0,6,gamma,-3.6904547065496445
0,6,V_1,-0.010256201028823853
0,6,V_2,-0.02985633909702301
0,6,V_3,0.2671734541654587
0,6,V_4,-0.09507907927036285
0,6,V_5,-0.038104698061943054
0,6,V_6,0.2545163780450821
0,6,V_7,-0.03580842912197113
0,6,V_8,-4.2572617530822754e-05
0,6,V_9,-0.002806037664413452
0,6,V_10,-0.004851236939430237
0,7,gamma,-5.264349937438965
0,7,V_1,-0.0034465789794921875
0,7,V_2,-0.06857722997665405
0,7,V_3,0.2675893306732178
0,7,V_4,-0.07958537340164185
0,7,V_5,-0.08752292394638062
0,7,V_6,-0.6241124272346497
0,7,V_7,0.9177514314651489
0,7,V_8,-9.781122207641602e-05
0,7,V_9,-0.0064452290534973145
0,7,V_10,-0.011142909526824951
0,8,gamma,-4.227290034294128
0,8,V_1,0.014072537422180176
0,8,V_2,-0.07628369331359863
0,8,V_3,0.2686593532562256
0,8,V_4,-0.03972482681274414
0,8,V_5,-0.08453810214996338
0,8,V_6,-0.3118627071380615
0,8,V_7,-0.041117072105407715
0,8,V_8,0.8471478223800659
0,8,V_9,-0.12526583671569824
0,8,V_10,-0.14789748191833496
0,9,gamma,-3.853873074054718
0,9,V_1,0.01095724105834961
0,9,V_2,-0.08984935283660889
0,9,V_3,0.26846903562545776
0,9,V_4,-0.04681289196014404
0,9,V_5,-0.09957218170166016
0,9,V_6,-0.3673868179321289
0,9,V_7,-0.04843109846115112
0,9,V_8,-0.002237558364868164
0,9,V_9,0.8524627685546875
0,9,V_10,-0.17419278621673584
0,10,gamma,-3.9242607951164246
0,10,V_1,0.009928345680236816
0,10,V_2,-0.09433001279830933
0,10,V_3,0.2684062123298645
0,10,V_4,-0.04915398359298706
0,10,V_5,-0.10453784465789795
0,10,V_6,-0.38572603464126587
0,10,V_7,-0.050846874713897705
0,10,V_8,-0.0016042590141296387
0,10,V_9,-0.10577929019927979
0,10,V_10,0.8171220421791077
1,1,gamma,-2.1760788559913635
1,1,V_1,0.2866087406873703
1,1,V_2,-0.0021551847457885742
1,1,V_3,0.3538932651281357
1,1,V_4,-0.007310226559638977
1,1,V_5,-0.002619832754135132
1,1,V_6,-0.029248952865600586
1,1,V_7,-0.0017982274293899536
1,1,V_8,-2.2992491722106934e-05
1,1,V_9,-0.0004282742738723755
1,1,V_10,-0.0007516145706176758
1,2,gamma,-0.5895363390445709
1,2,V_1,0.08588716387748718
1,2,V_2,0.8758436143398285
1,2,V_3,0.421601265668869
1,2,V_4,-0.06575801968574524
1,2,V_5,-0.1374252438545227
1,2,V_6,-0.4993175268173218
1,2,V_7,-0.06035831570625305
1,2,V_8,-0.0013236403465270996
1,2,V_9,-0.02467125654220581
1,2,V_10,-0.04329827427864075
1,3,gamma,-3.672614425420761
1,3,V_1,-0.023898199200630188
1,3,V_2,-7.218122482299805e-05
1,3,V_3,0.9138960540294647
1,3,V_4,-0.0002448856830596924
1,3,V_5,-8.7738037109375e-05
1,3,V_6,-0.0009798407554626465
1,3,V_7,-6.0245394706726074e-05
1,3,V_8,-7.748603820800781e-07
1,3,V_9,-1.4349818229675293e-05
1,3,V_10,-2.518296241760254e-05
1,4,gamma,-4.787096083164215
1,4,V_1,0.04572489857673645
1,4,V_2,-0.04425951838493347
1,4,V_3,0.4181990623474121
1,4,V_4,0.8498747646808624
1,4,V_5,-0.05380174517631531
1,4,V_6,-0.6006666719913483
1,4,V_7,-0.036928534507751465
1,4,V_8,-0.0004718303680419922
1,4,V_9,-0.008794844150543213
1,4,V_10,-0.015435069799423218
1,5,gamma,-5.2242337465286255
1,5,V_1,0.08532589673995972
1,5,V_2,-0.1150483787059784
1,5,V_3,0.42155373096466064
1,5,V_4,-0.06693708896636963
1,5,V_5,0.8601475059986115
1,5,V_6,-0.5081940591335297
1,5,V_7,-0.061426252126693726
1,5,V_8,-0.0012265145778656006
1,5,V_9,-0.022861391305923462
1,5,V_10,-0.04012194275856018
1,6,gamma,-1.676675707101822
1,6,V_1,0.07477478682994843
1,6,V_2,-0.04974104464054108
1,6,V_3,0.4206599295139313
1,6,V_4,-0.0891014039516449
1,6,V_5,-0.06046505272388458
1,6,V_6,0.32494132220745087
1,6,V_7,-0.04150208830833435
1,6,V_8,-0.0005302727222442627
1,6,V_9,-0.009884089231491089
1,6,V_10,-0.017346680164337158
1,7,gamma,-5.050989657640457
1,7,V_1,0.08111441135406494
1,7,V_2,-0.08322468400001526
1,7,V_3,0.42119696736335754
1,7,V_4,-0.07578396797180176
1,7,V_5,-0.10116767883300781
1,7,V_6,-0.5747982263565063
1,7,V_7,0.9305604100227356
1,7,V_8,-0.0008872449398040771
1,7,V_9,-0.016537636518478394
1,7,V_10,-0.029023736715316772
1,8,gamma,-1.488985002040863
1,8,V_1,0.09809929132461548
1,8,V_2,-0.07645714282989502
1,8,V_3,0.4226357340812683
1,8,V_4,-0.040104568004608154
1,8,V_5,-0.08461350202560425
1,8,V_6,-0.3061848282814026
1,8,V_7,-0.03712201118469238
1,8,V_8,0.8418323397636414
1,8,V_9,-0.11354982852935791
1,8,V_10,-0.1540430188179016
1,9,gamma,-3.6315830647945404
1,9,V_1,0.09457218647003174
1,9,V_2,-0.09023362398147583
1,9,V_3,0.4223369359970093
1,9,V_4,-0.04751378297805786
1,9,V_5,-0.09986656904220581
1,9,V_6,-0.36196523904800415
1,9,V_7,-0.043833136558532715
1,9,V_8,-0.007185250520706177
1,9,V_9,0.8660722374916077
1,9,V_10,-0.18169298768043518
1,10,gamma,-0.9844581782817841
1,10,V_1,0.09380477666854858
1,10,V_2,-0.093231201171875
1,10,V_3,0.4222720265388489
1,10,V_4,-0.04912590980529785
1,10,V_5,-0.10318541526794434
1,10,V_6,-0.37410253286361694
1,10,V_7,-0.045293331146240234
1,10,V_8,-0.0057382285594940186
1,10,V_9,-0.10695630311965942
1,10,V_10,0.8122906386852264
