firm_id,w,c,L,S,Y,logw,logc,rank,A,xi,x,y,comp
1,1.6847519777179367,7.255341152781783,0.32865731508679813,9.929932490708081,947.2786461331241,0.5216183587375123,1.9817379083569644,3,1.4639494075197417,0.0494908030336735,-0.7958871187540311,-1.230232195490445,1
2,0.8629549320444542,5.308653390552595,0.035318369298511273,7.3462193070856765,52.72035056498825,-0.14739281169055823,1.6693382043262532,2,0.617627554859822,-0.1117060522936106,2.697704444206532,-2.1720438866851817,1
3,1.603969516758072,11.036895096950753,0.06177818397997286,13.094434123936738,146.95388791239463,0.472481504748817,2.4012437600749923,6,0.6931761032034068,-0.0070711237409028,-0.8143241608750938,0.1643800696746679,1
4,1.7605537692958333,8.375805927719828,0.20627762608072384,10.837929304260237,587.3962059609812,0.5656284012061183,2.1253473032568055,4,1.2286053050045174,0.1610082015902023,14.28981558006612,3.780934545238833,2
5,0.5288677126194627,1.1653148832090654,0.0051961222822970434,6.347889968476384,18.7120998617316,-0.6370169490593609,0.15299133651334423,0,1.1414989700040523,-0.0181114035273733,1.891738606148021,1.761661236511811,1
6,955.1079922169313,31.56732080768987,9.065664371148587e-13,17.546124874614055,6.015969416068832e-07,6.861824414942998,3.4521224338337086,9,1.042415685656963,-0.2639902095394366,2.185312307093984,-0.2915214260984387,1
7,573.9929793600778,31.10597466110564,8.399764445764612e-13,24.305144946163157,4.7091020013954165e-07,6.352617165164762,3.437399912023748,8,0.6682913492545162,-0.2445125574054622,1.601880627356114,-1.2616003169196963,1
8,0.6551139520978289,2.821081116189168,0.01151468243501251,6.510320794692486,21.760338205030347,-0.42294608580993387,1.037120186015948,1,0.6883069550048252,-0.089133798401186,7.978722550038827,3.1053158593949126,2
9,453.95772791627144,30.856015144556782,1.2534571182995995e-12,27.043832704717005,6.233949861046859e-07,6.118004083389731,3.429331711719806,7,0.5896864215850828,-0.2806370401713018,-2.046234136982096,5.138182622543285,3
10,1.9458845537370963,10.33473760879286,0.17951438320434743,12.541132243968928,529.8630398895252,0.6657166571001657,2.3355108042089063,5,1.1020843310791848,0.0908651952824772,9.815916017138882,3.4501011084020794,2
