grid_id,x_skill,ell_x,ell_y,weight_x,weight_ell,weight_joint,count_float
0,9.799,-14.284850069364028,-9.427880055491222,0.5,0.0001267293098014,6.33646549007e-05,0.01267293098014
1,9.799,-6.778130899871329,-9.427880055491222,0.5,0.0025,0.00125,0.25
2,9.799,0.0,-9.427880055491222,0.5,0.0060039527081177,0.0030019763540588,0.60039527081177
3,9.799,6.778130899871329,-9.427880055491222,0.5,0.0025,0.00125,0.25
4,9.799,14.284850069364028,-9.427880055491222,0.5,0.0001267293098014,6.33646549007e-05,0.01267293098014
5,9.799,-14.284850069364028,-3.4225047198970637,0.5,0.0025,0.00125,0.25
6,9.799,-6.778130899871329,-3.4225047198970637,0.5,0.0493177151346429,0.0246588575673214,4.93177151346429
7,9.799,0.0,-3.4225047198970637,0.5,0.1184404917363267,0.0592202458681633,11.844049173632673
8,9.799,6.778130899871329,-3.4225047198970637,0.5,0.0493177151346429,0.0246588575673214,4.93177151346429
9,9.799,14.284850069364028,-3.4225047198970637,0.5,0.0025,0.00125,0.25
10,9.799,-14.284850069364028,2.0,0.5,0.0060039527081177,0.0030019763540588,0.60039527081177
11,9.799,-6.778130899871329,2.0,0.5,0.1184404917363267,0.0592202458681633,11.844049173632673
12,9.799,0.0,2.0,0.5,0.2844444444444445,0.1422222222222222,28.44444444444445
13,9.799,6.778130899871329,2.0,0.5,0.1184404917363267,0.0592202458681633,11.844049173632673
14,9.799,14.284850069364028,2.0,0.5,0.0060039527081177,0.0030019763540588,0.60039527081177
15,9.799,-14.284850069364028,7.422504719897064,0.5,0.0025,0.00125,0.25
16,9.799,-6.778130899871329,7.422504719897064,0.5,0.0493177151346429,0.0246588575673214,4.93177151346429
17,9.799,0.0,7.422504719897064,0.5,0.1184404917363267,0.0592202458681633,11.844049173632673
18,9.799,6.778130899871329,7.422504719897064,0.5,0.0493177151346429,0.0246588575673214,4.93177151346429
19,9.799,14.284850069364028,7.422504719897064,0.5,0.0025,0.00125,0.25
20,9.799,-14.284850069364028,13.427880055491222,0.5,0.0001267293098014,6.33646549007e-05,0.01267293098014
21,9.799,-6.778130899871329,13.427880055491222,0.5,0.0025,0.00125,0.25
22,9.799,0.0,13.427880055491222,0.5,0.0060039527081177,0.0030019763540588,0.60039527081177
23,9.799,6.778130899871329,13.427880055491222,0.5,0.0025,0.00125,0.25
24,9.799,14.284850069364028,13.427880055491222,0.5,0.0001267293098014,6.33646549007e-05,0.01267293098014
25,10.219,-14.284850069364028,-9.427880055491222,0.5,0.0001267293098014,6.33646549007e-05,0.01267293098014
26,10.219,-6.778130899871329,-9.427880055491222,0.5,0.0025,0.00125,0.25
27,10.219,0.0,-9.427880055491222,0.5,0.0060039527081177,0.0030019763540588,0.60039527081177
28,10.219,6.778130899871329,-9.427880055491222,0.5,0.0025,0.00125,0.25
29,10.219,14.284850069364028,-9.427880055491222,0.5,0.0001267293098014,6.33646549007e-05,0.01267293098014
30,10.219,-14.284850069364028,-3.4225047198970637,0.5,0.0025,0.00125,0.25
31,10.219,-6.778130899871329,-3.4225047198970637,0.5,0.0493177151346429,0.0246588575673214,4.93177151346429
32,10.219,0.0,-3.4225047198970637,0.5,0.1184404917363267,0.0592202458681633,11.844049173632673
33,10.219,6.778130899871329,-3.4225047198970637,0.5,0.0493177151346429,0.0246588575673214,4.93177151346429
34,10.219,14.284850069364028,-3.4225047198970637,0.5,0.0025,0.00125,0.25
35,10.219,-14.284850069364028,2.0,0.5,0.0060039527081177,0.0030019763540588,0.60039527081177
36,10.219,-6.778130899871329,2.0,0.5,0.1184404917363267,0.0592202458681633,11.844049173632673
37,10.219,0.0,2.0,0.5,0.2844444444444445,0.1422222222222222,28.44444444444445
38,10.219,6.778130899871329,2.0,0.5,0.1184404917363267,0.0592202458681633,11.844049173632673
39,10.219,14.284850069364028,2.0,0.5,0.0060039527081177,0.0030019763540588,0.60039527081177
40,10.219,-14.284850069364028,7.422504719897064,0.5,0.0025,0.00125,0.25
41,10.219,-6.778130899871329,7.422504719897064,0.5,0.0493177151346429,0.0246588575673214,4.93177151346429
42,10.219,0.0,7.422504719897064,0.5,0.1184404917363267,0.0592202458681633,11.844049173632673
43,10.219,6.778130899871329,7.422504719897064,0.5,0.0493177151346429,0.0246588575673214,4.93177151346429
44,10.219,14.284850069364028,7.422504719897064,0.5,0.0025,0.00125,0.25
45,10.219,-14.284850069364028,13.427880055491222,0.5,0.0001267293098014,6.33646549007e-05,0.01267293098014
46,10.219,-6.778130899871329,13.427880055491222,0.5,0.0025,0.00125,0.25
47,10.219,0.0,13.427880055491222,0.5,0.0060039527081177,0.0030019763540588,0.60039527081177
48,10.219,6.778130899871329,13.427880055491222,0.5,0.0025,0.00125,0.25
49,10.219,14.284850069364028,13.427880055491222,0.5,0.0001267293098014,6.33646549007e-05,0.01267293098014
